video_id,platform,platform_video_id,url,title,original_title,channel_name,published_at,official_status,video_type,link_status,duplicate_group_id,duplicate_note,notes,source_article_ids
youtube_3iszag1c2f0,youtube,3iSZAG1C2f0,https://www.youtube.com/watch?v=3iSZAG1C2f0,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第二試合］イスカン・アステvsマルコ・フレイザー【概要欄見て】,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第二試合］イスカン・アステvsマルコ・フレイザー【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:01,
youtube_uqc4ki4qmai,youtube,UqC4KI4QmaI,https://www.youtube.com/watch?v=UqC4KI4QmaI,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第一試合］つくりはらvsランダーデビル【概要欄見て】,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第一試合］つくりはらvsランダーデビル【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=5:55,
youtube_cfwfi7poyto,youtube,cfWfI7Poyto,https://www.youtube.com/watch?v=cfWfI7Poyto,【緊急動画③】メジャー団体の話（概要欄に詳しく載せてます）,【緊急動画③】メジャー団体の話（概要欄に詳しく載せてます）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:42,
youtube_brntqnevkws,youtube,BRntqNevkws,https://www.youtube.com/watch?v=BRntqNevkws,【緊急動画②】アラカクの試合の見方（概要欄を是非 試合動画悪いです）,【緊急動画②】アラカクの試合の見方（概要欄を是非  試合動画悪いです）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=9:23,
youtube_u6b6drse9d0,youtube,U6b6DrSe9d0,https://www.youtube.com/watch?v=U6b6DrSe9d0,【緊急動画①】アラカクの説明の仕方（概要欄を是非）,【緊急動画①】アラカクの説明の仕方（概要欄を是非）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=10:18,
youtube_brsv2jpffak,youtube,bRsV2jPffak,https://www.youtube.com/watch?v=bRsV2jPffak,【概要欄見て】まによんpresentsアラカクライブNo.15［第７回MAXバウトライト級GP FINAL］,【概要欄見て】まによんpresentsアラカクライブNo.15［第７回MAXバウトライト級GP FINAL］,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:59:27,
youtube_4tzgvgx7cg8,youtube,4TzgvgX7cG8,https://www.youtube.com/watch?v=4TzgvgX7cG8,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ミサ・ウィル・ジョーvsルージュド・スターリー,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ミサ・ウィル・ジョーvsルージュド・スターリー,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:47,
youtube_lzu1p7ujdos,youtube,lZu1p7UJdos,https://www.youtube.com/watch?v=lZu1p7UJdos,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！テール・ジャンクvsタイプ・ジー,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！テール・ジャンクvsタイプ・ジー,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:35,
youtube_cgzqssiwtgw,youtube,cGZQsSiwTGw,https://www.youtube.com/watch?v=cGZQsSiwTGw,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ダイス・ヴォルケードvsライン・デュオ,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ダイス・ヴォルケードvsライン・デュオ,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:06,
youtube_7jwrin5qehm,youtube,7jWRin5QehM,https://www.youtube.com/watch?v=7jWRin5QehM,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！かべいvsさかえだ,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！かべいvsさかえだ,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:45,
youtube_vbacvhixam4,youtube,VBACVHiXAm4,https://www.youtube.com/watch?v=VBACVHiXAm4,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！おとさわvsらんちゃーすがや,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！おとさわvsらんちゃーすがや,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:06,
youtube_eddeflnklfy,youtube,eDdeFlNKlfY,https://www.youtube.com/watch?v=eDdeFlNKlfY,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第四試合］コルト・アプローvsだいなの見どころ動画,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第四試合］コルト・アプローvsだいなの見どころ動画,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:56,
youtube_zoa9z26fng0,youtube,ZoA9Z26FNG0,https://www.youtube.com/watch?v=ZoA9Z26FNG0,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第二試合］くわしおvsブルーワンの見どころ動画,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第二試合］くわしおvsブルーワンの見どころ動画,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=5:03,
youtube_pujzpgtph2w,youtube,pujZpgtpH2w,https://www.youtube.com/watch?v=pujZpgtpH2w,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第三試合］つくりはらvsステシエン・チェットの見どころ動画,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第三試合］つくりはらvsステシエン・チェットの見どころ動画,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=4:51,
youtube_yliawvelzbm,youtube,YLiAwvelzBM,https://www.youtube.com/watch?v=YLiAwvelzBM,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第一試合］ランダーデビルvsキマイラの見どころ動画,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第一試合］ランダーデビルvsキマイラの見どころ動画,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:52,
youtube_nethwrkgjga,youtube,nEthwrKGJgA,https://www.youtube.com/watch?v=nEthwrKGJgA,【概要欄を是非】まによんpresentsアラカク試合だけのライブNo.3［エリートスピリッツミドル級GP FINAL］（アラカク説明なしのライブ）,【概要欄を是非】まによんpresentsアラカク試合だけのライブNo.3［エリートスピリッツミドル級GP FINAL］（アラカク説明なしのライブ）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:31:11,
youtube_ih3zxm_t77c,youtube,iH3zxM-t77c,https://www.youtube.com/watch?v=iH3zxM-t77c,【概要欄めっちゃ見て】ターゲットNo.94の見どころ！！,【概要欄めっちゃ見て】ターゲットNo.94の見どころ！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=12:29,
youtube_xq4q7wpe4_a,youtube,xq4Q7wPE4-A,https://www.youtube.com/watch?v=xq4Q7wPE4-A,【森本カメラ】試合観戦側映像③ 2025.7.26アラカク試合だけのライブNo.3,【森本カメラ】試合観戦側映像③ 2025.7.26アラカク試合だけのライブNo.3,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=8:11,
