article_id,article_title,url,line_number,line_type,line_text
note-n046653bda67a,マウンテン・ヒーローズNo.32対戦カード,https://note.com/xyz1090/n/n046653bda67a,4,matchup,マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと
note-n046653bda67a,マウンテン・ヒーローズNo.32対戦カード,https://note.com/xyz1090/n/n046653bda67a,31,matchup,マウンテン・ヒーローズNo.32対戦カード
note-n046653bda67a,マウンテン・ヒーローズNo.32対戦カード,https://note.com/xyz1090/n/n046653bda67a,47,result,☆ライト級ワンマッチ（ノンタイトル）
note-n25252920d028,エンペラーNo.115試合結果,https://note.com/xyz1090/n/n25252920d028,48,result,☆エンペラーライト級タイトルマッチ
note-n25252920d028,エンペラーNo.115試合結果,https://note.com/xyz1090/n/n25252920d028,52,result_with_time,（3R2分40秒KO 左ハイキック）
note-n25252920d028,エンペラーNo.115試合結果,https://note.com/xyz1090/n/n25252920d028,81,result_with_time,（1R3分42秒KO パンチ連打）
note-n382366e8d3d8,ターゲットNo.94試合結果,https://note.com/xyz1090/n/n382366e8d3d8,52,result_with_time,（1R2分36秒KO パウンド）
note-n382366e8d3d8,ターゲットNo.94試合結果,https://note.com/xyz1090/n/n382366e8d3d8,59,result_with_time,（1R1分24秒KO 左フック）
note-n382366e8d3d8,ターゲットNo.94試合結果,https://note.com/xyz1090/n/n382366e8d3d8,66,result_with_time,（1R1分16秒KO 左フック→膝蹴り→パウンド）
note-nf311a5b3c239,エンペラーNo.115対戦カード,https://note.com/xyz1090/n/nf311a5b3c239,4,matchup,エンペラーNo.115対戦カード｜アラカク通信のーと
note-nf311a5b3c239,エンペラーNo.115対戦カード,https://note.com/xyz1090/n/nf311a5b3c239,31,matchup,エンペラーNo.115対戦カード
note-nf311a5b3c239,エンペラーNo.115対戦カード,https://note.com/xyz1090/n/nf311a5b3c239,46,matchup,エンペラーNo.115対戦カード
note-nf311a5b3c239,エンペラーNo.115対戦カード,https://note.com/xyz1090/n/nf311a5b3c239,47,result,☆エンペラーライト級タイトルマッチ
note-nf311a5b3c239,エンペラーNo.115対戦カード,https://note.com/xyz1090/n/nf311a5b3c239,50,result,【6勝1敗】防衛①
note-n5d2777f5af90,ターゲットNo.94対戦カード,https://note.com/xyz1090/n/n5d2777f5af90,4,matchup,ターゲットNo.94対戦カード｜アラカク通信のーと
note-n5d2777f5af90,ターゲットNo.94対戦カード,https://note.com/xyz1090/n/n5d2777f5af90,31,matchup,ターゲットNo.94対戦カード
note-n5d2777f5af90,ターゲットNo.94対戦カード,https://note.com/xyz1090/n/n5d2777f5af90,46,matchup,ターゲットNo.94対戦カード
note-n672f34b0e481,マウンテン・ヒーローズNo.31試合結果,https://note.com/xyz1090/n/n672f34b0e481,52,result_with_time,（2R3分18秒KO パウンド）
note-n672f34b0e481,マウンテン・ヒーローズNo.31試合結果,https://note.com/xyz1090/n/n672f34b0e481,59,result_with_time,（3R終了 判定3-0）
note-n672f34b0e481,マウンテン・ヒーローズNo.31試合結果,https://note.com/xyz1090/n/n672f34b0e481,66,result_with_time,（1R4分11秒KO 左フック→パウンド）
note-n672f34b0e481,マウンテン・ヒーローズNo.31試合結果,https://note.com/xyz1090/n/n672f34b0e481,80,result_with_time,（3R終了 判定3-0）
note-n4e293a00d981,マウンテン・ヒーローズNo.31対戦カード,https://note.com/xyz1090/n/n4e293a00d981,4,matchup,マウンテン・ヒーローズNo.31対戦カード｜アラカク通信のーと
note-n4e293a00d981,マウンテン・ヒーローズNo.31対戦カード,https://note.com/xyz1090/n/n4e293a00d981,31,matchup,マウンテン・ヒーローズNo.31対戦カード
note-n4e293a00d981,マウンテン・ヒーローズNo.31対戦カード,https://note.com/xyz1090/n/n4e293a00d981,46,matchup,マウンテン・ヒーローズNo.31対戦カード
note-n5c9be1cc17a5,エンペラーNo.114試合結果,https://note.com/xyz1090/n/n5c9be1cc17a5,52,result_with_time,（1R0分13秒KO パンチ連打）
note-n5c9be1cc17a5,エンペラーNo.114試合結果,https://note.com/xyz1090/n/n5c9be1cc17a5,59,result_with_time,（1R3分16秒KO 左フック）
note-n5c9be1cc17a5,エンペラーNo.114試合結果,https://note.com/xyz1090/n/n5c9be1cc17a5,66,result_with_time,（1R3分55秒KO パウンド）
note-n5c9be1cc17a5,エンペラーNo.114試合結果,https://note.com/xyz1090/n/n5c9be1cc17a5,73,result_with_time,（3R終了 判定3-0）
note-ndbe7c7364326,エンペラーNo.114対戦カード,https://note.com/xyz1090/n/ndbe7c7364326,4,matchup,エンペラーNo.114対戦カード｜アラカク通信のーと
note-ndbe7c7364326,エンペラーNo.114対戦カード,https://note.com/xyz1090/n/ndbe7c7364326,31,matchup,エンペラーNo.114対戦カード
note-ndbe7c7364326,エンペラーNo.114対戦カード,https://note.com/xyz1090/n/ndbe7c7364326,46,matchup,エンペラーNo.114対戦カード
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,48,result,☆ライト級タイトルマッチ
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,49,result,○ランダーデビル【25勝5敗】防衛②
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,59,result_with_time,（1R2分05秒KO 膝蹴り）
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,66,result_with_time,（1R1分53秒TKO パウンド→タオル投入）
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,73,result_with_time,（1R1分47秒KO 左ストレート）
note-n3b4b0b6ed3c8,マウンテン・ヒーローズNo.30試合結果,https://note.com/xyz1090/n/n3b4b0b6ed3c8,80,result_with_time,（3R終了判定 2-1）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,48,result,☆ライト級タイトルマッチ
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,52,result_with_time,（1R1分51秒KO 膝蹴り→パウンド）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,53,result,＊防衛数
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,60,result_with_time,（1R1分３２秒 RNC）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,67,result_with_time,（3R終了判定2-1）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,74,result_with_time,（1R1分50秒KO 左アッパー）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,80,result_with_time,（2R2分15秒KO 三日月蹴り→パウンド）
note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,87,result_with_time,（1R1分28秒KO 左ストレート）
note-n140f32db6ddd,マウンテン・ヒーローズNo.30対戦カード,https://note.com/xyz1090/n/n140f32db6ddd,4,matchup,マウンテン・ヒーローズNo.30対戦カード｜アラカク通信のーと
